uri,id,name,popularity
spotify:track:71oM9w2BbJxzTpxzWIE0lw,71oM9w2BbJxzTpxzWIE0lw,Caught Their Eyes,56
spotify:track:3pSFjAADPO9PMzpYdFo3Mp,3pSFjAADPO9PMzpYdFo3Mp,Last Date (W/ You),0
spotify:track:5FuEl29XjsZ3hDshE9scfR,5FuEl29XjsZ3hDshE9scfR,Should I Go,38
spotify:track:68SNAUUgO2XwxykrEboEZN,68SNAUUgO2XwxykrEboEZN,i wanna be your right hand,51
spotify:track:72HyixZAVyNR3Ljiuumgyo,72HyixZAVyNR3Ljiuumgyo,what if i took it off for you?,47
spotify:track:4tQcyj5488alHT1ZgFduzn,4tQcyj5488alHT1ZgFduzn,How Much A Dollar Cost,62
spotify:track:5WGUKZpVV5MLuNPtuk6nlK,5WGUKZpVV5MLuNPtuk6nlK,Uyo Meyo,0
spotify:track:2GFExyKXf9383tSRSrEHEt,2GFExyKXf9383tSRSrEHEt,Can't Take My Eyes Off of You - (I Love You Baby),71
spotify:track:5BhK8Mho223YLPQOLfzWNP,5BhK8Mho223YLPQOLfzWNP,Killing Me,59
spotify:track:5FChOu6NfR5w7YLgDmXXnC,5FChOu6NfR5w7YLgDmXXnC,Eternal Sunshine,54
spotify:track:5m4HdQxM81GHtLhyQjEPkh,5m4HdQxM81GHtLhyQjEPkh,Garage Rooftop,52
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,0YMe6PHRbeDcN7KJdCG0bW,The Dress,67
spotify:track:2ax9yh9o3eJWbJZbF8tDvj,2ax9yh9o3eJWbJZbF8tDvj,Valentina,61
spotify:track:0BYuy4jQEMJzyo6rySSQpC,0BYuy4jQEMJzyo6rySSQpC,Please Do Not Lean (feat. BADBADNOTGOOD) - Bonus,62
spotify:track:0fdaw54L9HswP2QVYJjnx6,0fdaw54L9HswP2QVYJjnx6,concrete,57
spotify:track:4VUXAoJESfRV3ceUYtzfpQ,4VUXAoJESfRV3ceUYtzfpQ,Endlessly,60
spotify:track:5iBFfR1yvTrxw9TxNhqRqd,5iBFfR1yvTrxw9TxNhqRqd,Oxford Circus,57
spotify:track:0Bs3Lwzs8y9BzKUgvFXPUx,0Bs3Lwzs8y9BzKUgvFXPUx,say im ur luv,59
spotify:track:1jZrlerU1ZWEI7oDPtHPGx,1jZrlerU1ZWEI7oDPtHPGx,MESS U MADE,47
spotify:track:1NlGXcWeUSe1s3IgRKcqmB,1NlGXcWeUSe1s3IgRKcqmB,Antidote,65
spotify:track:4deAN7JXhdHHifxOp0TTjU,4deAN7JXhdHHifxOp0TTjU,Do You Like Me?,68
spotify:track:0K02o2ZV5UCJbbCw67FtaY,0K02o2ZV5UCJbbCw67FtaY,Bad Life (feat. Kali Uchis),52
spotify:track:6mLNU3uGKZ1fLcJv9J1u7G,6mLNU3uGKZ1fLcJv9J1u7G,Summer Love,60
spotify:track:455NN00cexwUiy0CkRbgqe,455NN00cexwUiy0CkRbgqe,safety,49
spotify:track:1uf4itZeNCVYDHExNH9Ov3,1uf4itZeNCVYDHExNH9Ov3,pressure,54
spotify:track:5gErVIEfTztsb2niYlWjI4,5gErVIEfTztsb2niYlWjI4,do you light up?,50
spotify:track:1Qu24vc8msUVLcMZWa4k1x,1Qu24vc8msUVLcMZWa4k1x,Want U Around (feat. Ruel),64
spotify:track:4ZaRg5Sf4TKr0YcFRLh7QJ,4ZaRg5Sf4TKr0YcFRLh7QJ,Love Affair,66
spotify:track:4ZgXDDRSS4lVx1g3WkRon0,4ZgXDDRSS4lVx1g3WkRon0,"Doctor, My Eyes",56
spotify:track:4pHy0gmjfpD0Fgond5c4Ta,4pHy0gmjfpD0Fgond5c4Ta,Miles,64
spotify:track:7jhxagwOk9y1HC5ciRfmkQ,7jhxagwOk9y1HC5ciRfmkQ,Invincible (feat. Daniel Caesar),63
spotify:track:4YsnwsPURRSvprBHBY1BCd,4YsnwsPURRSvprBHBY1BCd,Disillusioned (with serpentwithfeet),63
spotify:track:6a6JDEQbXdxkWFRIA0pRqL,6a6JDEQbXdxkWFRIA0pRqL,Lavender,48
spotify:track:467t3218y3yihFcyDGWjr0,467t3218y3yihFcyDGWjr0,Skin,62
spotify:track:5uUjYnzcjEgiIFWR0av19g,5uUjYnzcjEgiIFWR0av19g,Kamikaze,57
spotify:track:6HSTJbYzJCK5jKz7hrsvQh,6HSTJbYzJCK5jKz7hrsvQh,intro,61
spotify:track:3ym8ajVmKm6Fybgov3WBI5,3ym8ajVmKm6Fybgov3WBI5,Let Me Go,72
spotify:track:4fVXcxsXPW5lhy5ut9biHB,4fVXcxsXPW5lhy5ut9biHB,Lose Control,59
spotify:track:5Cyy8UMG6ch51oXYenPGzN,5Cyy8UMG6ch51oXYenPGzN,Archetype,52
spotify:track:3ljkahwsdk97GG9g73l6w3,3ljkahwsdk97GG9g73l6w3,Wandering Romance,48
spotify:track:6fbYL76UWbHdYq4B91TPQi,6fbYL76UWbHdYq4B91TPQi,This Way - From SUPERFLY - Original Soundtrack,54
spotify:track:377HC7NhzOesbV7n7qzUxP,377HC7NhzOesbV7n7qzUxP,17,38
spotify:track:0EDzxUaUO4j9knZsytC3V8,0EDzxUaUO4j9knZsytC3V8,Brown,50
spotify:track:2R5GzHdM4xdA8HNLIF8lOY,2R5GzHdM4xdA8HNLIF8lOY,West,60
spotify:track:22DHmfJa31hKpc2Lg0gVBV,22DHmfJa31hKpc2Lg0gVBV,Mad (feat. Lil Wayne),54
spotify:track:2hPNuVVSV1tqiD2uPlfehz,2hPNuVVSV1tqiD2uPlfehz,Come Over,52
spotify:track:3E895HtTn6lB40SA0l9EkL,3E895HtTn6lB40SA0l9EkL,Take Me Away (feat. Syd),64
spotify:track:38LSehTOMfWEMpP0e8b3pu,38LSehTOMfWEMpP0e8b3pu,Nothing to Me,47
spotify:track:2QLNDKL7hZyh2OZ8UL9WrV,2QLNDKL7hZyh2OZ8UL9WrV,Hope,53
spotify:track:6dBUzqjtbnIa1TwYbyw5CM,6dBUzqjtbnIa1TwYbyw5CM,Lovers Rock,89
spotify:track:71oM9w2BbJxzTpxzWIE0lw,71oM9w2BbJxzTpxzWIE0lw,Caught Their Eyes,56
spotify:track:3pSFjAADPO9PMzpYdFo3Mp,3pSFjAADPO9PMzpYdFo3Mp,Last Date (W/ You),0
spotify:track:5FuEl29XjsZ3hDshE9scfR,5FuEl29XjsZ3hDshE9scfR,Should I Go,38
spotify:track:68SNAUUgO2XwxykrEboEZN,68SNAUUgO2XwxykrEboEZN,i wanna be your right hand,51
spotify:track:72HyixZAVyNR3Ljiuumgyo,72HyixZAVyNR3Ljiuumgyo,what if i took it off for you?,47
spotify:track:4tQcyj5488alHT1ZgFduzn,4tQcyj5488alHT1ZgFduzn,How Much A Dollar Cost,62
spotify:track:5WGUKZpVV5MLuNPtuk6nlK,5WGUKZpVV5MLuNPtuk6nlK,Uyo Meyo,0
spotify:track:2GFExyKXf9383tSRSrEHEt,2GFExyKXf9383tSRSrEHEt,Can't Take My Eyes Off of You - (I Love You Baby),71
spotify:track:5BhK8Mho223YLPQOLfzWNP,5BhK8Mho223YLPQOLfzWNP,Killing Me,59
spotify:track:5FChOu6NfR5w7YLgDmXXnC,5FChOu6NfR5w7YLgDmXXnC,Eternal Sunshine,54
spotify:track:5m4HdQxM81GHtLhyQjEPkh,5m4HdQxM81GHtLhyQjEPkh,Garage Rooftop,52
spotify:track:0YMe6PHRbeDcN7KJdCG0bW,0YMe6PHRbeDcN7KJdCG0bW,The Dress,67
spotify:track:2ax9yh9o3eJWbJZbF8tDvj,2ax9yh9o3eJWbJZbF8tDvj,Valentina,61
spotify:track:0BYuy4jQEMJzyo6rySSQpC,0BYuy4jQEMJzyo6rySSQpC,Please Do Not Lean (feat. BADBADNOTGOOD) - Bonus,62
spotify:track:0fdaw54L9HswP2QVYJjnx6,0fdaw54L9HswP2QVYJjnx6,concrete,57
spotify:track:4VUXAoJESfRV3ceUYtzfpQ,4VUXAoJESfRV3ceUYtzfpQ,Endlessly,60
spotify:track:5iBFfR1yvTrxw9TxNhqRqd,5iBFfR1yvTrxw9TxNhqRqd,Oxford Circus,57
spotify:track:0Bs3Lwzs8y9BzKUgvFXPUx,0Bs3Lwzs8y9BzKUgvFXPUx,say im ur luv,59
spotify:track:1jZrlerU1ZWEI7oDPtHPGx,1jZrlerU1ZWEI7oDPtHPGx,MESS U MADE,47
spotify:track:1NlGXcWeUSe1s3IgRKcqmB,1NlGXcWeUSe1s3IgRKcqmB,Antidote,65
spotify:track:4deAN7JXhdHHifxOp0TTjU,4deAN7JXhdHHifxOp0TTjU,Do You Like Me?,68
spotify:track:0K02o2ZV5UCJbbCw67FtaY,0K02o2ZV5UCJbbCw67FtaY,Bad Life (feat. Kali Uchis),52
spotify:track:6mLNU3uGKZ1fLcJv9J1u7G,6mLNU3uGKZ1fLcJv9J1u7G,Summer Love,60
spotify:track:455NN00cexwUiy0CkRbgqe,455NN00cexwUiy0CkRbgqe,safety,49
spotify:track:1uf4itZeNCVYDHExNH9Ov3,1uf4itZeNCVYDHExNH9Ov3,pressure,54
spotify:track:5gErVIEfTztsb2niYlWjI4,5gErVIEfTztsb2niYlWjI4,do you light up?,50
spotify:track:1Qu24vc8msUVLcMZWa4k1x,1Qu24vc8msUVLcMZWa4k1x,Want U Around (feat. Ruel),64
spotify:track:4ZaRg5Sf4TKr0YcFRLh7QJ,4ZaRg5Sf4TKr0YcFRLh7QJ,Love Affair,66
spotify:track:4ZgXDDRSS4lVx1g3WkRon0,4ZgXDDRSS4lVx1g3WkRon0,"Doctor, My Eyes",56
spotify:track:4pHy0gmjfpD0Fgond5c4Ta,4pHy0gmjfpD0Fgond5c4Ta,Miles,64
spotify:track:7jhxagwOk9y1HC5ciRfmkQ,7jhxagwOk9y1HC5ciRfmkQ,Invincible (feat. Daniel Caesar),63
spotify:track:4YsnwsPURRSvprBHBY1BCd,4YsnwsPURRSvprBHBY1BCd,Disillusioned (with serpentwithfeet),63
spotify:track:6a6JDEQbXdxkWFRIA0pRqL,6a6JDEQbXdxkWFRIA0pRqL,Lavender,48
spotify:track:467t3218y3yihFcyDGWjr0,467t3218y3yihFcyDGWjr0,Skin,62
spotify:track:5uUjYnzcjEgiIFWR0av19g,5uUjYnzcjEgiIFWR0av19g,Kamikaze,57
spotify:track:6HSTJbYzJCK5jKz7hrsvQh,6HSTJbYzJCK5jKz7hrsvQh,intro,61
spotify:track:3ym8ajVmKm6Fybgov3WBI5,3ym8ajVmKm6Fybgov3WBI5,Let Me Go,72
spotify:track:4fVXcxsXPW5lhy5ut9biHB,4fVXcxsXPW5lhy5ut9biHB,Lose Control,59
spotify:track:5Cyy8UMG6ch51oXYenPGzN,5Cyy8UMG6ch51oXYenPGzN,Archetype,52
spotify:track:0J119Oas2ox6JTTHUGZxHN,0J119Oas2ox6JTTHUGZxHN,Give You the World,67
spotify:track:6OpU3cvY19M2hFxTbLKy5L,6OpU3cvY19M2hFxTbLKy5L,Juno,52
spotify:track:46vrZhwggdZuuZGwIQ80O3,46vrZhwggdZuuZGwIQ80O3,Buzzed,60
spotify:track:7twY0ucjaUFUNfjkCHj1Cs,7twY0ucjaUFUNfjkCHj1Cs,Hey Boy (feat. Kali Uchis),60
spotify:track:5AeOFOHwU2EMu9iCubF5H0,5AeOFOHwU2EMu9iCubF5H0,TODAY,53
spotify:track:14Q7Qja4PJwjMsKdBZcnww,14Q7Qja4PJwjMsKdBZcnww,Sunshine (feat. Fousheé),61
spotify:track:43czZSFDYr2i6HDJw580n5,43czZSFDYr2i6HDJw580n5,CRISIS,49
spotify:track:6nXiaXqSZAJuOG6q66mZV1,6nXiaXqSZAJuOG6q66mZV1,Lil Baby Crush,63
spotify:track:0b83L1ToHRiwlpmUAjiCHc,0b83L1ToHRiwlpmUAjiCHc,Valentina,72
spotify:track:26ao8h4lge7K2yltgKXrVc,26ao8h4lge7K2yltgKXrVc,moonlit room,47
spotify:track:7zU9t2C30H09zMRp8I9tj6,7zU9t2C30H09zMRp8I9tj6,Amir,0
spotify:track:5vDmjSeMPidqtN2ZiM4P2Q,5vDmjSeMPidqtN2ZiM4P2Q,I Didn't Mean To Fall In Love,44
spotify:track:6m6R6O2BOZDCNymhJ45spI,6m6R6O2BOZDCNymhJ45spI,Loner,61
spotify:track:113iEwaI5Se6Q287iXOIJy,113iEwaI5Se6Q287iXOIJy,Love Is A Losing Game - Original Demo,48
spotify:track:4PEGwWH4tL6H7dGl4uVSPg,4PEGwWH4tL6H7dGl4uVSPg,Like a Tattoo,76
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,86
spotify:track:5spAjqC772iC2KzDvEkmSr,5spAjqC772iC2KzDvEkmSr,A Song for You,60
spotify:track:1kPBT8S2wJFNAyBMnGVZgL,1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,79
spotify:track:1XR1X1VTyTOVdPgH18RdME,1XR1X1VTyTOVdPgH18RdME,Is It a Crime,63
spotify:track:407qAIie8sIEgquKD1AAd2,407qAIie8sIEgquKD1AAd2,Shy,60
spotify:track:7x6hO9VMAee9x1iWaeNkL6,7x6hO9VMAee9x1iWaeNkL6,To Zion (feat. Carlos Santana),63
spotify:track:0bRXwKfigvpKZUurwqAlEh,0bRXwKfigvpKZUurwqAlEh,Lovely Day,79
spotify:track:5dlfvkyZOuBCFP1KbzRHUx,5dlfvkyZOuBCFP1KbzRHUx,Orange Moon,56
spotify:track:4Hhv2vrOTy89HFRcjU3QOx,4Hhv2vrOTy89HFRcjU3QOx,At Last,79
spotify:track:59acp1OhcvxwVBwQJBYKuX,59acp1OhcvxwVBwQJBYKuX,Loose,76
spotify:track:4SBVWkRIMJ6WBCYPvr5Bwr,4SBVWkRIMJ6WBCYPvr5Bwr,Make It Better (feat. Smokey Robinson),62
spotify:track:7Kt7c9Q2B7hSyiTZvGQ37D,7Kt7c9Q2B7hSyiTZvGQ37D,Minetta Creek,57
spotify:track:70LJDJUseObPU5czxfHYkB,70LJDJUseObPU5czxfHYkB,Hypnosis,57
spotify:track:0b7tfmHH7G72ZByouk4WEh,0b7tfmHH7G72ZByouk4WEh,All That I Can Say,47
spotify:track:4ehkZtzPTbjsRULRfQSWYu,4ehkZtzPTbjsRULRfQSWYu,Inside Friend (feat. John Mayer),57
spotify:track:0iJP3XxZNE8tP7YnB23J1r,0iJP3XxZNE8tP7YnB23J1r,Someday We'll All Be Free,47
spotify:track:125kmhAUbQqM4zKOS3L7No,125kmhAUbQqM4zKOS3L7No,Lowkey (feat. Erykah Badu),47
spotify:track:3pxJuMLjNPtiC0fX8EHFlF,3pxJuMLjNPtiC0fX8EHFlF,"Me, Myself and I",60
spotify:track:0I5mUa3CZPcsrWwlUmTWkV,0I5mUa3CZPcsrWwlUmTWkV,I'm Goin' Down,56
spotify:track:3QRQwnaENDNslrc5tNUGgE,3QRQwnaENDNslrc5tNUGgE,Lava Lamp,58
spotify:track:0RJD0uJykyJH6vFzz6ufaE,0RJD0uJykyJH6vFzz6ufaE,Last Time (feat. Snoh Aalegra),60
spotify:track:3uliGwmB52ZA7brgpZMzyH,3uliGwmB52ZA7brgpZMzyH,Love Is A Losing Game,70
spotify:track:7DfFc7a6Rwfi3YQMRbDMau,7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,86
spotify:track:7swGurTfZlwx7mTOE8PpIc,7swGurTfZlwx7mTOE8PpIc,Sweet November,60
spotify:track:7HnkUNPrhRurdGEm9nRYFH,7HnkUNPrhRurdGEm9nRYFH,Death & Taxes,58
spotify:track:3eVo0wD4kGwF3gshtecZso,3eVo0wD4kGwF3gshtecZso,He Can Only Hold Her,66
spotify:track:72794Eag03xdy7TO0KNuid,72794Eag03xdy7TO0KNuid,Cayendo (Side A - Acoustic),68
spotify:track:3IRdgbdqDcmJBIa6TY2mKX,3IRdgbdqDcmJBIa6TY2mKX,I Used to Love Him (feat. Mary J. Blige),57
spotify:track:4f7PUKUsyx2Ry02W1j9ymN,4f7PUKUsyx2Ry02W1j9ymN,I Heard Love Is Blind,47
spotify:track:1KnJwhZU3DIBe54Q4HPpIl,1KnJwhZU3DIBe54Q4HPpIl,Higher,62
spotify:track:6ouqFJzORAuvKAOZZr0IRM,6ouqFJzORAuvKAOZZr0IRM,The Night Me and Your Mama Met,56
spotify:track:0RfzQhbvtn5lOaKdhpAni7,0RfzQhbvtn5lOaKdhpAni7,Me & Mr Jones,65
spotify:track:0zGLlXbHlrAyBN1x6sY0rb,0zGLlXbHlrAyBN1x6sY0rb,A Sunday Kind Of Love,73
spotify:track:0W95eMaAxNVYTquOsXXkC5,0W95eMaAxNVYTquOsXXkC5,"Female Energy, Part 2",61
spotify:track:7L4G39PVgMfaeHRyi1ML7y,7L4G39PVgMfaeHRyi1ML7y,Day Dreaming,61
spotify:track:0J119Oas2ox6JTTHUGZxHN,0J119Oas2ox6JTTHUGZxHN,Give You the World,67
spotify:track:6OpU3cvY19M2hFxTbLKy5L,6OpU3cvY19M2hFxTbLKy5L,Juno,52
spotify:track:46vrZhwggdZuuZGwIQ80O3,46vrZhwggdZuuZGwIQ80O3,Buzzed,60
spotify:track:7twY0ucjaUFUNfjkCHj1Cs,7twY0ucjaUFUNfjkCHj1Cs,Hey Boy (feat. Kali Uchis),60
spotify:track:5AeOFOHwU2EMu9iCubF5H0,5AeOFOHwU2EMu9iCubF5H0,TODAY,53
spotify:track:14Q7Qja4PJwjMsKdBZcnww,14Q7Qja4PJwjMsKdBZcnww,Sunshine (feat. Fousheé),61
spotify:track:43czZSFDYr2i6HDJw580n5,43czZSFDYr2i6HDJw580n5,CRISIS,49
spotify:track:6nXiaXqSZAJuOG6q66mZV1,6nXiaXqSZAJuOG6q66mZV1,Lil Baby Crush,63
spotify:track:0b83L1ToHRiwlpmUAjiCHc,0b83L1ToHRiwlpmUAjiCHc,Valentina,72
spotify:track:26ao8h4lge7K2yltgKXrVc,26ao8h4lge7K2yltgKXrVc,moonlit room,47
spotify:track:7zU9t2C30H09zMRp8I9tj6,7zU9t2C30H09zMRp8I9tj6,Amir,0
spotify:track:5vDmjSeMPidqtN2ZiM4P2Q,5vDmjSeMPidqtN2ZiM4P2Q,I Didn't Mean To Fall In Love,44
